name,id,subdivisionType,code,landSubdivisionName,idInDelineationFile,sourceRegionName,sourceRegionId,lowIllumination,percentCoverage,exportToSnowTodayWebsite,used,root,CRS,comment,countryType,sovereignCode,sovereignName,otherCodeForBigArea_adm0_A3,adm1Code,admGroupId,name2,id2,remarksForDeveloper,versionForProd,versionForIntegration
"Id: Unique id uint16 used in the stat files (<65535, (max('uint16')) ). Called snowtod_id in the shapefiles. NB: let value below field id to keep type integer when import into qgis. NB: Beware this 65535 pseudo id is used in code and then really mustnt be used as id.",0,"WARNING: Dont shift position 2 for id. Column used in bash script, keep at 2 position.","Unique code of the land subdivision in this configuration file and more generally for the full modis. For country, code adm0_A3 or iso3_code. For Provinces (States) code iso 3166-2. For hucx, huc code. For hydrosheds, pfaf_id",Part of the filename of the land subdivision group mask file,"id in the data of the land subdivision group file (mask). Should be unique in the file, but two subdivisions can have the same id if their mask is extracted from distinct files.","region from which the data are extracted for the stats. MUST be filled for used land subdivisions, otherwise the landsubdivision wont appear in lists","WARNING: Column used in bash script, keep at 8 position.",deprecated?,deprecated?,"deprecated. SnowToday website handle this property on their side, we export everything.","WARNING: Dont shift this column of position 12, is used in bash script. Meaning: 1: used in the website",1: upper-level Region in the website,"Coordinate reference system projection and code, e.g. EPSG:3875",comment line,"Maybe sovereign country, dependency, or indeterminate for Country. For Province, maybe State, Province, Region, District, etc ...\",Code of sovereign country. Sovereign de facto.,Name of sovereign country de facto.,,For Provinces only.,,Id: Unique id used in the stat files. Called snowtod_id in the shapefiles. NB: let value below field id to keep type integer when import into qgis,0,"change groupadm0 in filenames into adm0group Stupid things, AMAndeS versus ASHimalaya_ (without S, not very consistent)",Version of geotiffs and stats for production web-app. Necessary only for root subdivisions.,Version of geotiffs and stats for integration web-app. Necessary only for root subdivisions.
American Samoa,2241,adm0,ASM,,,,,,,,0,0,,,Dependency,US1,United States of America,,,,American Samoa,2241,,,
Guam,2242,adm0,GUM,,,,,,,,0,0,,,Dependency,US1,United States of America,,,,Guam,2242,,,
Northern Mariana Islands,2243,adm0,MNP,,,,,,,,0,0,,,Dependency,US1,United States of America,,,,Northern Mariana Islands,2243,,,
Puerto Rico,2244,adm0,PRI,,,,,,,,0,0,,,Dependency,US1,United States of America,,,,Puerto Rico,2244,,,
United States Minor Outlying Islands,2245,adm0,UMI,,,,,,,,0,0,,,Dependency,US1,United States of America,,,,United States Minor Outlying Islands,2245,,,
United States of America,2246,adm0,USA,,,,,,,,0,0,,,Country,US1,United States of America,,,,United States of America,2246,,,
United States Virgin Islands,2247,adm0,VIR,,,,,,,,0,0,,,Dependency,US1,United States of America,,,,United States Virgin Islands,2247,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,11721,adm1,US-AK,,,USAlaska,1,,,,1,0,,,State,US1,,USA,USA-3563,,Alaska,11721,,,
Alabama,11722,adm1,US-AL,,,,,,,,0,0,,,State,US1,,USA,USA-3541,,Alabama,11722,,,
Arkansas,11723,adm1,US-AR,,,,,,,,0,0,,,State,US1,,USA,USA-3528,,Arkansas,11723,,,
Arizona,11724,adm1,US-AZ,USWestStates,1,westernUS,5,0,1,1,2,0,,,State,US1,,USA,USA-3520,,Arizona,11724,,,
California,11725,adm1,US-CA,USWestStates,2,westernUS,5,0,0.999999999999999,1,2,0,,,State,US1,,USA,USA-3521,,California,11725,,,
Colorado,11726,adm1,US-CO,USWestStates,3,westernUS,5,0,0.950869533800203,1,2,0,,,State,US1,,USA,USA-3522,,Colorado,11726,,,
Connecticut,11727,adm1,US-CT,,,,,,,,0,0,,,State,US1,,USA,USA-3537,,Connecticut,11727,,,
District of Columbia,11728,adm1,US-DC,,,,,,,,0,0,,,Federal District,US1,,USA,USA-3556,,District of Columbia,11728,,,
Delaware,11729,adm1,US-DE,,,,,,,,0,0,,,State,US1,,USA,USA-3555,,Delaware,11729,,,
Florida,11730,adm1,US-FL,,,,,,,,0,0,,,State,US1,,USA,USA-3542,,Florida,11730,,,
Georgia,11731,adm1,US-GA,,,,,,,,0,0,,,State,US1,,USA,USA-3543,,Georgia,11731,,,
Hawaii,11732,adm1,US-HI,,,,,,,,0,0,,,State,US1,,USA,USA-3517,,Hawaii,11732,,,
Iowa,11733,adm1,US-IA,USWestStates,5,,,0,0.326631089263247,0,0,0,,,State,US1,,USA,USA-3529,,Iowa,11733,,,
Idaho,11734,adm1,US-ID,USWestStates,4,westernUS,5,1,0.999999999999996,1,2,0,,,State,US1,,USA,USA-3518,,Idaho,11734,,,
Illinois,11735,adm1,US-IL,,,,,,,,0,0,,,State,US1,,USA,USA-3546,,Illinois,11735,,,
Indiana,11736,adm1,US-IN,,,,,,,,0,0,,,State,US1,,USA,USA-3547,,Indiana,11736,,,
Kansas,11737,adm1,US-KS,USWestStates,6,,,0,0.0234091813316561,0,0,0,,,State,US1,,USA,USA-3530,,Kansas,11737,,,
Kentucky,11738,adm1,US-KY,,,,,,,,0,0,,,State,US1,,USA,USA-3548,,Kentucky,11738,,,
Louisiana,11739,adm1,US-LA,,,,,,,,0,0,,,State,US1,,USA,USA-3535,,Louisiana,11739,,,
Massachusetts,11740,adm1,US-MA,,,,,,,,0,0,,,State,US1,,USA,USA-3513,,Massachusetts,11740,,,
Maryland,11741,adm1,US-MD,,,,,,,,0,0,,,State,US1,,USA,USA-3557,,Maryland,11741,,,
Maine,11742,adm1,US-ME,,,,,,,,0,0,,,State,US1,,USA,USA-3561,,Maine,11742,,,
Michigan,11743,adm1,US-MI,,,,,,,,0,0,,,State,US1,,USA,USA-3562,,Michigan,11743,,,
Minnesota,11744,adm1,US-MN,,,,,,,,0,0,,,State,US1,,USA,USA-3514,,Minnesota,11744,,,
Missouri,11745,adm1,US-MO,USWestStates,7,,,0,0.117250224923234,0,0,0,,,State,US1,,USA,USA-3531,,Missouri,11745,,,
Mississippi,11746,adm1,US-MS,,,,,,,,0,0,,,State,US1,,USA,USA-3544,,Mississippi,11746,,,
