inputDataLabel,outputDataLabel,inputVersion,outputVersion,varId,used,name,nameWithinFile,datasetGroupPath,bitPosition,bitCount,type,divisor,unit,min,max,nodata_value,nodata_value2,resamplingFactor,comment,Comment_2
Data label of the file used as an input,Data label of the file generated as an output,version of the input,Version of the output,Unique id of the output variable,"1: included in the generation, 0: excluded",,Field name in the file,For .h5 files,,,,,,,,,,1: 2400x2400 for mod09ga. 2: 1200x1200,0,
,modisspiressmoothbycell,,v2024.0d,48,0,albedo_clean_mu0,,,,,uint8,1,percent,0,100,255,,1,,
,modisspiressmoothbycell,,v2024.0d,49,0,albedo_observed_mu0,,,,,uint8,1,percent,0,100,255,,1,,
,modisspiressmoothbycell,,v2024.0d,50,0,albedo_clean_muZ,,,,,uint8,1,percent,0,100,255,,1,,
,modisspiressmoothbycell,,v2024.0d,51,0,albedo_observed_muZ,,,,,uint8,1,percent,0,100,255,,1,,
,modisspiressmoothbycell,,v2024.0d,43,0,deltavis,,,,,uint8,1,percent,0,75,255,,1,,
,modisspiressmoothbycell,,v2024.0d,41,0,grain_size,,,,,uint16,1,microns,10,1100,65535,,1,,
,modisspiressmoothbycell,,v2024.0d,42,0,drfs_grnsz,,,,,uint16,1,microns,10,1100,65535,,1,,
,modisspiressmoothbycell,,v2024.0d,44,0,radiative_forcing,,,,,uint16,1,W/m^2,0,500,65535,,1,,
,modisspiressmoothbycell,,v2024.0d,13,1,solar_azimuth,,/Grid/MODIS_GRID_500m/,,,int16,1,degree,-180,180,32767,,1,,
,modisspiressmoothbycell,,v2024.0d,14,1,solar_zenith,,/Grid/MODIS_GRID_500m/,,,uint8,1,degree,0,90,255,,1,,
,modisspiressmoothbycell,,v2024.0d,45,0,snow_cover_days,,,,,uint16,1,day,0,366,65535,,1,,
,modisspiressmoothbycell,,v2024.0d,40,0,snow_fraction,,,,,uint8,1,percent,0,100,255,,1,,
,modisspiressmoothbycell,,v2024.0d,36,0,viewable_snow_fraction,,,,,uint8,1,percent,0,100,255,,1,,
,modisspiressmoothbycell,,v2024.0d,38,0,vegetation_fraction,,,,,uint8,1,percent,,,255,,1,,
,modisspiressmoothbycell,,v2024.0d,37,0,rock_fraction,,,,,uint8,1,percent,,,255,,1,,
,modisspiressmoothbycell,,v2024.0d,39,0,other_fraction,,,,,uint8,1,percent,,,255,,1,,
,modisspiressmoothbycell,,v2024.0d,46,0,viewable_snow_fraction_status,,,,,uint8,1,unitless,0,255,255,,1,,
,modisspiressmoothbycell,,v2024.0d,47,0,days_without_observation,,,,,uint16,1,day,0,366,65535,,1,,
,modisspiressmoothbycell,,v2024.0d,10,0,num_observations_1km,,,,,int8,,unitless,,,-1,,1,,
,modisspiressmoothbycell,,v2024.0d,11,0,state_1km,,,,,uint16,,Bit field,,,65535,,1,,
,modisspiressmoothbycell,,v2024.0d,12,0,sensor_zenith,,,,,uint8,1,degree,,,255,,1,,
,modisspiressmoothbycell,,v2024.0d,8,0,num_observations_500m,,,,,int8,,unitless,,,-1,,1,,
,modisspiressmoothbycell,,v2024.0d,9,0,QC_500m,,,,,uint32,,unitless,,,4294967295,,1,,
,modisspiressmoothbycell,,v2024.0d,1,0,reflectance_1_620_670,,,,,uint8,1,hundredth,,,255,,1,,
,modisspiressmoothbycell,,v2024.0d,2,0,reflectance_2_841_876,,,,,uint8,1,hundredth,,,255,,1,,
,modisspiressmoothbycell,,v2024.0d,3,0,reflectance_3_459_479,,,,,uint8,1,hundredth,,,255,,1,,
,modisspiressmoothbycell,,v2024.0d,4,0,reflectance_4_545_565,,,,,uint8,1,hundredth,,,255,,1,,
,modisspiressmoothbycell,,v2024.0d,5,0,reflectance_5_1230_1250,,,,,uint8,1,hundredth,,,255,,1,,
,modisspiressmoothbycell,,v2024.0d,6,0,reflectance_6_1628_1652,,,,,uint8,1,hundredth,,,255,,1,,
,modisspiressmoothbycell,,v2024.0d,7,0,reflectance_7_2105_2155,,,,,uint8,1,hundredth,,,255,,1,,
,modisspiressmoothbycell,,v2024.0d,15,0,cloud,,,,,uint8,,unitless,0,3,,,1,,
,modisspiressmoothbycell,,v2024.0d,16,0,cloudshadow,,,,,uint8,,unitless,0,1,,,1,,
,modisspiressmoothbycell,,v2024.0d,17,0,landwater,,,,,uint8,,unitless,0,7,,,1,,
,modisspiressmoothbycell,,v2024.0d,18,0,aerosol,,,,,uint8,,unitless,0,3,,,1,,
,modisspiressmoothbycell,,v2024.0d,19,0,cirrus,,,,,uint8,,unitless,0,3,,,1,,
,modisspiressmoothbycell,,v2024.0d,20,0,Intcloudflag,,,,,uint8,,unitless,0,1,,,1,,
,modisspiressmoothbycell,,v2024.0d,21,0,Intfireflag,,,,,uint8,,unitless,0,1,,,1,,
,modisspiressmoothbycell,,v2024.0d,22,0,MOD35snow,,,,,uint8,,unitless,0,1,,,1,,
,modisspiressmoothbycell,,v2024.0d,23,0,cloudadj,,,,,uint8,,unitless,0,1,,,1,,
,modisspiressmoothbycell,,v2024.0d,24,0,saltpan,,,,,uint8,,unitless,0,1,,,1,,
,modisspiressmoothbycell,,v2024.0d,25,0,Intsnow,,,,,uint8,,unitless,0,1,,,1,,
,modisspiressmoothbycell,,v2024.0d,26,0,modland,,,,,uint8,,unitless,0,3,,,1,,
,modisspiressmoothbycell,,v2024.0d,27,0,bandQA1,,,,,uint8,,unitless,0,15,,,1,,
,modisspiressmoothbycell,,v2024.0d,28,0,bandQA2,,,,,uint8,,unitless,0,15,,,1,,
,modisspiressmoothbycell,,v2024.0d,29,0,bandQA3,,,,,uint8,,unitless,0,15,,,1,,
,modisspiressmoothbycell,,v2024.0d,30,0,bandQA4,,,,,uint8,,unitless,0,15,,,1,,
,modisspiressmoothbycell,,v2024.0d,31,0,bandQA5,,,,,uint8,,unitless,0,15,,,1,,
,modisspiressmoothbycell,,v2024.0d,32,0,bandQA6,,,,,uint8,,unitless,0,15,,,1,,
,modisspiressmoothbycell,,v2024.0d,33,0,bandQA7,,,,,uint8,,unitless,0,15,,,1,,
,modisspiressmoothbycell,,v2024.0d,34,0,atmosCorr,,,,,uint8,,unitless,0,1,,,1,,
,modisspiressmoothbycell,,v2024.0d,35,0,adjCorr,,,,,uint8,,unitless,0,1,,,1,,
,modisspiressmoothbycell,,v2024.0d,52,0,refl,,,,,int16,,hundredth,,,,,1,,
,modisspiressmoothbycell,,v2024.0d,53,0,NoValues,,,,,uint8,,unitless,,,,,1,,
,modisspiressmoothbycell,,v2024.0d,54,1,viewable_snow_fraction_s,,/Grid/MODIS_GRID_500m/,,,uint8,1,percent,0,100,255,,1,,
,modisspiressmoothbycell,,v2024.0d,56,0,shade_fraction_s,,,,,uint8,1,percent,0,100,255,,1,,
,modisspiressmoothbycell,,v2024.0d,57,1,grain_size_s,,/Grid/MODIS_GRID_500m/,,,uint16,1,microns,40,1190,65535,,1,,
,modisspiressmoothbycell,,v2024.0d,58,1,dust_concentration_s,,/Grid/MODIS_GRID_500m/,,,uint16,10,tenths of unitless,0,9500,65535,,1,,
,modisspiressmoothbycell,,v2024.0d,55,1,snow_fraction_s,,/Grid/MODIS_GRID_500m/,,,uint8,1,percent,0,100,255,,1,,
,modisspiressmoothbycell,,v2024.0d,59,0,notprocessed,,,,,uint8,1,unitless,0,1,255,,1,,
,modisspiressmoothbycell,,v2024.0d,60,0,notprocessed_s,,,,,uint8,1,unitless,0,1,255,,1,,
